timestamp,cpu_usage,ram_usage,disk_usage,net_sent,net_recv,process_count,uptime_seconds,label
2026-03-03 21:11:10.295378,3.5,84.5,14.8,5720146,13740666,340,1127777.4973700047,0
2026-03-03 21:11:15.312106,10.7,84.5,14.8,5766428,13829664,340,1127782.514103651,0
2026-03-03 21:11:20.330427,3.2,84.5,14.8,5796155,13958760,340,1127787.5381307602,0
2026-03-03 21:11:25.352588,3.3,84.5,14.8,5835908,14009166,340,1127792.5558214188,0
2026-03-03 21:11:30.369828,5.5,84.5,14.8,5850007,14133681,340,1127797.5704426765,0
2026-03-03 21:11:35.384916,8.9,84.5,14.8,5859167,14274163,340,1127802.5910542011,0
2026-03-03 21:11:40.404781,7.6,84.5,14.8,5873127,14508038,340,1127807.6065051556,0
2026-03-03 21:11:45.423050,5.7,84.3,14.8,5889059,14785014,338,1127812.6252622604,0
2026-03-03 21:11:50.440628,6.5,84.3,14.8,5904759,15049681,338,1127817.6434838772,0
2026-03-03 21:11:55.458957,3.7,84.4,14.8,5933429,15213183,338,1127822.6609356403,0
2026-03-03 21:12:00.476083,4.8,84.4,14.8,5973129,15349740,338,1127827.6766824722,0
2026-03-03 21:12:05.490691,9.9,84.4,14.8,5992751,15499592,338,1127832.692653656,0
2026-03-03 21:12:10.506290,7.7,84.4,14.8,6012354,15636387,338,1127837.7113878727,0
2026-03-03 21:12:15.525432,7.1,84.5,14.8,6047336,15766751,338,1127842.728459835,0
2026-03-03 21:12:20.544126,2.8,84.4,14.8,6071942,15881072,338,1127847.7466893196,0
2026-03-03 21:12:25.561252,3.2,84.4,14.8,6107271,15959850,338,1127852.7626600266,0
2026-03-03 21:12:30.577128,5.6,84.4,14.8,6129187,16094679,338,1127857.7808823586,0
2026-03-03 21:12:35.594897,4.4,84.4,14.8,6160142,16208887,338,1127862.799213171,0
2026-03-03 21:12:40.616806,4.8,84.4,14.8,6175152,16313950,338,1127867.8195877075,0
2026-03-03 21:12:45.633800,7.0,84.4,14.8,6185249,16462708,338,1127872.8388991356,0
2026-03-03 21:12:50.652958,3.3,84.4,14.8,6202837,16574341,338,1127877.8555088043,0
2026-03-03 21:12:55.670245,7.7,84.4,14.8,6214797,16699797,338,1127882.8732349873,0
2026-03-03 21:13:00.687927,3.8,84.4,14.8,6222530,16812705,338,1127887.8928625584,0
2026-03-03 21:13:05.708556,9.2,84.5,14.8,6225845,16812705,340,1127892.9067468643,0
2026-03-03 21:13:10.723677,2.5,84.9,14.8,6225845,16812705,340,1127897.9246747494,0
2026-03-03 21:13:15.738620,13.3,85.2,14.8,6225845,16812705,340,1127902.9405989647,1
